dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_awakeningsCount,metabolite_171,-0.1406420901861452,-3.6206232577923054,0.00030040891477795055,2258.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.009054332207086407
sleep_efficiency,metabolite_171,-0.0009702198656849296,-1.02883700271717,0.30367281616754227,2150.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.6071205227604607
sleep_minutesAfterWakeup,metabolite_171,-0.048729109577884504,-1.2565650826332395,0.20906307153600592,1947.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.5101017459752339
sleep_minutesAsleep,metabolite_171,0.06810239688744532,2.8925120628494136,0.003859448605223996,2206.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.05257036812267231
sleep_restlessDuration,metabolite_171,0.11879444754292999,3.887612404016507,0.00010443324497548855,2079.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.004162746775047047
sleep_awakeDuration,metabolite_179,0.012163681556021806,0.31662722545944044,0.7515641529846093,1769.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.9039474552999597
sleep_awakeningsCount,metabolite_179,0.02591844513440407,0.5858639333807736,0.5580360663344328,1928.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.7965193283429296
sleep_efficiency,metabolite_179,-0.0012561766904435057,-1.1927868293010246,0.23310792202117994,1840.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.5346020966761243
sleep_minutesAfterWakeup,metabolite_179,0.04565440945720958,1.0347200275394266,0.30095167322378363,1661.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.6030212947136289
sleep_minutesAsleep,metabolite_179,-0.017173038861052238,-0.6567222758855334,0.5114403591789662,1884.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.7703740009526232
sleep_restlessDuration,metabolite_179,-0.004881693850269789,-0.1414483418688144,0.8875319640317798,1774.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.9580660794293561
sleep_awakeDuration,metabolite_180,0.04134043566341877,1.0510743557768962,0.29334766292544046,2076.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.5953037222798442
sleep_awakeningsCount,metabolite_180,-0.0520673250501515,-1.1803110425886698,0.2380008511622145,2273.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.5407652026828075
sleep_efficiency,metabolite_180,-0.0005286682506090296,-0.4969939454089839,0.6192441597073962,2164.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.8291785060531627
sleep_minutesAfterWakeup,metabolite_180,0.10208624926409868,2.3065241904975706,0.021186224466724475,1956.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.1482211345959946
sleep_minutesAsleep,metabolite_180,0.017451189476478873,0.6534655549614303,0.5135244151242432,2217.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.7717889928058422
sleep_restlessDuration,metabolite_180,0.04088078040972189,1.1628033549129888,0.2450431988888162,2087.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.5499088829177458
sleep_awakeDuration,metabolite_181,0.08071034320828427,2.570194895461497,0.010233940812002539,2072.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.09647892722635254
sleep_awakeningsCount,metabolite_181,-0.05704717483033573,-1.5914041456144616,0.11165937793045858,2261.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.36769883062081415
sleep_efficiency,metabolite_181,-0.0002207646073004223,-0.25477057858353586,0.7989248030734231,2153.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.9263788392617677
sleep_minutesAfterWakeup,metabolite_181,0.08439133559632529,2.3407099782815415,0.01934830022783527,1948.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.13855311855864424
sleep_minutesAsleep,metabolite_181,0.04088907207884853,1.8727824976360852,0.0612310722249474,2213.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.265889067081893
sleep_restlessDuration,metabolite_181,0.02526972688200841,0.8754325009282288,0.38144023804857663,2084.0,181,Medium Chain Fatty Acid,Lipid,laurate (12:0),143-07-7,C02679,HMDB00638,3893.0,0.6835510445295755
sleep_awakeDuration,metabolite_182,0.012243498239253605,0.29291164909500983,0.7696208817340633,1963.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.9134802490186151
sleep_awakeningsCount,metabolite_182,-0.045643635570555764,-0.961413694625538,0.3364534803066407,2142.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.6402994092165916
sleep_efficiency,metabolite_182,-0.0014022103117894147,-1.21991593053398,0.222638800371625,2040.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.5238827881181924
sleep_minutesAfterWakeup,metabolite_182,0.024741743417630288,0.509570335563761,0.6104139862635998,1844.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.8241734773231182
sleep_minutesAsleep,metabolite_182,0.026530677203542158,0.9322056164070189,0.35133861977053005,2092.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.6583802717927246
sleep_restlessDuration,metabolite_182,0.058302295456684444,1.5489056333206745,0.12156642714420667,1968.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.3879200559721356
sleep_awakeDuration,metabolite_189,-0.08087437240611631,-1.8636096897975052,0.0625196927731778,2061.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.26892442011046336
sleep_awakeningsCount,metabolite_189,-0.008833409706506024,-0.1762859341595794,0.8600852759771427,2251.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.9484987186318293
sleep_efficiency,metabolite_189,-0.0017671810661943014,-1.478208314130734,0.13950002041367435,2143.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.4182674319685155
sleep_minutesAfterWakeup,metabolite_189,0.08662575749635626,1.7405583815813344,0.08192147111110638,1932.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.30785157479287023
sleep_minutesAsleep,metabolite_189,-0.0015347662666113284,-0.050721311336591496,0.959552232721654,2199.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.9821944520799579
sleep_restlessDuration,metabolite_189,0.029965756078346423,0.7654453873204528,0.44409431775517827,2069.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.7237085101082906
sleep_awakeDuration,metabolite_192,0.14129645205404084,2.1928198607074747,0.02843264678788152,2060.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.1717421016504288
sleep_awakeningsCount,metabolite_192,-0.003982747442286314,-0.054634178461321764,0.9564347767164255,2257.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.981691719335473
sleep_efficiency,metabolite_192,-0.001025856745712643,-0.5756620117017989,0.564904524806428,2143.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.8003926994499272
sleep_minutesAfterWakeup,metabolite_192,0.040344080746550694,0.5412314674220159,0.5884107755387381,1937.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.8125499950829241
sleep_minutesAsleep,metabolite_192,0.07225965166967585,1.617794764792958,0.1058509740605399,2203.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.3575204471399826
sleep_restlessDuration,metabolite_192,0.07641769935963905,1.3094555076831211,0.190526551771422,2069.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.49088574550113967
sleep_awakeDuration,metabolite_194,-0.03846041488033349,-0.4218033567957122,0.6732124397260022,2081.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.8613159155317969
sleep_awakeningsCount,metabolite_194,-0.05835766280302489,-0.562891381653607,0.5735646089918949,2278.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.8050500913094668
sleep_efficiency,metabolite_194,-0.0011145659865261053,-0.4435863338090519,0.6573861985259848,2171.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.8497438536057449
sleep_minutesAfterWakeup,metabolite_194,0.09357219226153,0.8903942437617915,0.3733640705504532,1965.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.6750211996877227
sleep_minutesAsleep,metabolite_194,0.12824765518372655,2.0360734181643028,0.04186195051278705,2226.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.217536956710957
