dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_awakeningsCount,metabolite_136,0.006658229999248038,0.3951610008685786,0.692763109520327,2164.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.8649917159149638
sleep_efficiency,metabolite_136,-0.0004942851408185107,-1.2733400608975862,0.20304148187716436,2059.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.48709700031988856
sleep_minutesAfterWakeup,metabolite_136,0.021313911778959596,1.3360232181290355,0.18170538196303312,1862.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.46253838145757464
sleep_minutesAsleep,metabolite_136,0.002939333595739141,0.292922600269594,0.7696101306114365,2114.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.9029248359493051
sleep_restlessDuration,metabolite_136,-0.009323673837614746,-0.7078033146072845,0.4791505035409256,1990.0,136,Primary Bile Acid Metabolism,Lipid,cholate,81-25-4,C00695,HMDB00619,221493.0,0.7329113767695575
sleep_awakeDuration,metabolite_158,0.05342546843353581,0.7561399810380929,0.44965249253575723,2047.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.7137803251141479
sleep_awakeningsCount,metabolite_158,0.05052889561245322,0.6119044315200091,0.5406633129539022,2237.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.7780264314880456
sleep_efficiency,metabolite_158,-0.0009653678009191036,-0.5036831749947915,0.6145362921586727,2128.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.8251216210327426
sleep_minutesAfterWakeup,metabolite_158,0.11235210793072335,1.418865252449795,0.15610044188606506,1927.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.42718048683788096
sleep_minutesAsleep,metabolite_158,0.07620641130383381,1.5535769193223712,0.12043052234035694,2185.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.3733548716369388
sleep_restlessDuration,metabolite_158,0.09195225943591719,1.4132784310287008,0.1577256908202907,2055.0,158,"Pyrimidine Metabolism, Thymine containing",Nucleotide,"5,6-dihydrothymine",696-04-8,C00906,HMDB00079,93556.0,0.4296830183255798
sleep_awakeDuration,metabolite_171,0.06832760543330715,1.9477531805177222,0.05157971764456038,2072.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.22804999752029403
sleep_awakeningsCount,metabolite_171,-0.1758289687444617,-4.34039216371284,1.4851497181451832e-05,2258.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.0008432523768079071
sleep_efficiency,metabolite_171,-0.0009920135794341377,-1.0533285527471916,0.2923090737566802,2150.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.5764954822097013
sleep_minutesAfterWakeup,metabolite_171,-0.04366345380313413,-1.133832640163449,0.2570047014035662,1947.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.5425626608618027
sleep_minutesAsleep,metabolite_171,0.0695569086688786,2.8696201836569766,0.004148860523553671,2206.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.04896926403511707
sleep_restlessDuration,metabolite_171,0.12672627204598308,4.024960074907849,5.9031447573032426e-05,2079.0,171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,hypoxanthine,68-94-0,C00262,HMDB00157,790.0,0.002341291383889242
sleep_awakeDuration,metabolite_179,0.014361120198749026,0.3679519601552563,0.7129532004656616,1769.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.8774057867469264
sleep_awakeningsCount,metabolite_179,0.022755273830919222,0.48818591235977965,0.6254738210246753,1928.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.8307820218190344
sleep_efficiency,metabolite_179,-0.0012169507737525842,-1.147476051235217,0.2513345064305865,1840.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.5380221901334761
sleep_minutesAfterWakeup,metabolite_179,0.05365391716044838,1.2166506524686949,0.22391053392116952,1661.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.5090590164820168
sleep_minutesAsleep,metabolite_179,-0.011063865732704271,-0.4099523685416222,0.6818876217240021,1884.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.8591688464329053
sleep_restlessDuration,metabolite_179,0.0020970834208057904,0.058624612291136434,0.953257727949594,1774.0,179,"Fatty Acid, Dihydroxy",Lipid,"9,10-DiHOME",263399-34-4,C14828,HMDB04704,9966640.0,0.9829616105066163
sleep_awakeDuration,metabolite_180,0.04579693852789786,1.1515065032757275,0.2496568393295236,2076.0,180,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linoleate (18:2n6),60-33-3,C01595,HMDB00673,5280450.0,0.5369413841082338
